nOrders,Profit,Time
100,2412.783309814,4.969
200,3507.207974677,9.625
300,4263.164916281,61.765
400,4590.521667153,66.141
500,5187.000190859,152.797
600,5665.06368774,22.562
700,6147.272392843,85.469
800,6941.625349445,78.953
900,6843.24542672,15.516
1000,8623.404980877,78.875
1100,7723.899053557,43.125
1200,8492.324367157,40.359
1300,7602.690959096,28.719
1400,9626.127939831,30.187
1500,9352.726894263,44.266
1600,10203.049369737,46.5
1700,10230.316497854,49.453
1800,10300.901553277,51.047
1900,10230.838794497,68.094
2000,8465.380966341,97.062
2100,9745.683085134,89.797
2200,9793.804890657,80.672
2300,11136.049384655,119.016
2400,11743.721665692,88.062
2500,10830.189876169,133.469
2600,10441.129514803,102.625
2700,9969.858843422,120.5
2800,11334.938490436,126.016
2900,12272.774069272,130.25
3000,11874.300153364,140.125
3100,11826.639180742,194.891
3200,10864.978015387,159.61
3300,12930.013385948,159.063
3400,13072.372468363,165.547
3500,12335.974028738,290.453
3600,12367.888956978,253.985
3700,13059.17591686,285.828
3800,12249.76728408,305.453
3900,13387.265829894,267.593
4000,12482.109971899,219.734
4100,13525.141924319,274.032
4200,15109.647741043,228.313
4300,13997.270225339,328.641
4400,13452.424170372,288.343
4500,14382.421662284,212.36
4600,13420.409124327,259.312
4700,13619.729760473,287.75
4800,14237.727634319,405.984
4900,14152.485868916,595.75
5000,14796.231757754,297.01
5100,13683.186467061,3007.219
