Alpha,Average Profit
0.0,3965.7652980623743
0.005,3924.1419697544193
0.01,3935.862019638533
0.015,3890.230457755342
0.02,3948.340562128766
0.025,3937.2795531405573
0.03,3968.904071958447
0.035,3962.002614326608
0.04,3932.6320488744623
0.045,3943.613988873689
0.05,3986.964459308421
0.055,3962.2193665046007
0.06,3949.41209993611
0.065,3940.3507940501604
0.07,3971.258940124673
0.075,3935.7566419329087
0.08,3965.408747068295
0.085,3936.953517705476
0.09,3966.3560134404147
0.095,3941.4694455562235
0.1,3917.0323167408046
0.105,3932.8309595779842
0.11,3950.0582538918593
0.115,3940.2069108529527
0.12,3909.239504277164
0.125,3908.630057787901
0.13,3914.1687834984464
0.135,3924.0660686856177
0.14,3884.1616676995263
0.145,3953.657992215058
0.15,3948.967659694505
0.155,3938.2475822237984
0.16,3908.6075923403464
0.165,3992.087511888958
0.17,3932.04829163286
0.175,3991.1327547870046
0.18,3913.2580685880844
0.185,3966.1738932743006
0.19,3941.825841627351
0.195,3925.06862707614
0.2,3930.642533292339
0.205,3943.4595741315134
0.21,4038.857404181873
0.215,3984.6185478208226
0.22,3944.5381364575283
0.225,3964.067925851293
0.23,3929.04579524888
0.235,3904.5036525713226
0.24,3946.542953656137
0.245,3932.900370750823
0.25,3949.757094114594
0.255,3975.403871819562
0.26,3940.6642902461463
0.265,3959.402546478458
0.27,3955.089249948889
0.275,3950.6466544560008
0.28,3958.8821553367934
0.285,3968.134811724915
0.29,3961.7689013841173
0.295,3976.3790632132655
0.3,3968.493752468509
0.305,3941.395396860375
0.31,3932.8916566746216
0.315,3950.2871445942
0.32,3941.225981640528
0.325,3945.6060929489586
0.33,3928.3057211242913
0.335,3977.096086904949
0.34,3946.297500662568
0.345,3974.0869840437804
0.35,3945.3817348921166
0.355,3950.0583107839157
0.36,3983.245175343061
0.365,3963.8402362287716
0.37,3942.121290770443
0.375,3912.82588022432
0.38,3927.3134117042414
0.385,3917.2933434934675
0.39,3905.3174531495542
0.395,3946.3924921382177
0.4,3927.8314096618933
0.405,3928.3369674454334
0.41,3971.623628911525
0.415,3892.7261374607056
0.42,3950.219260656192
0.425,3930.7150164804902
0.43,3965.2099465762785
0.435,3970.1309310201946
0.44,3939.4331897080224
0.445,3953.7953452628703
0.45,3932.8169578982174
0.455,3930.266916096899
0.46,3925.9479683444
0.465,3941.3128597488585
0.47,3907.2688459628234
0.475,3965.594752614573
0.48,3939.6590396608644
0.485,3946.765097876441
0.49,3958.8479333869013
0.495,3972.235640397751
0.5,3938.4143550798744
0.505,3952.72484147935
0.51,3981.940090838547
0.515,3935.1851403137325
0.52,3956.9059310198827
0.525,3947.83152006742
0.53,3952.211891490999
0.535,3980.550782973178
0.54,3957.8794297227405
0.545,3975.5281206372247
0.55,3919.762383359237
0.555,3973.867297475808
0.56,3969.664029083186
0.565,3947.8478991984316
0.57,3942.092119143802
0.575,3937.9698309803284
0.58,3929.084559685629
0.585,3962.7751398028595
0.59,3969.207898687943
0.595,3974.5369794763096
0.6,3911.070433470443
0.605,3923.546092806112
0.61,3979.2778726208367
0.615,3973.8806638005394
0.62,3949.692957250662
0.625,3966.9900964337894
0.63,3962.2811692001474
0.635,3922.1921696640056
0.64,3942.662660027361
0.645,3965.613396886907
0.65,3954.2468977872254
0.655,3982.2412963531165
0.66,3945.2243092932213
0.665,3963.3865709767265
0.67,3951.1081571458362
0.675,3914.998478490284
0.68,3965.4171659307426
0.685,3943.328991724159
0.69,3922.144774190481
0.695,3967.8952249993426
0.7,3927.9078900630598
0.705,3980.840638694565
0.71,3953.896182239757
0.715,3962.3694377700663
0.72,3967.3902674830765
0.725,3970.221100242298
0.73,3905.9404744760745
0.735,3975.179003859122
0.74,3955.5015068093194
0.745,3977.7871801900374
0.75,3944.2933596887433
0.755,3965.7716846159224
0.76,3964.8920786581584
0.765,3968.310341332023
0.77,3996.9007501421893
0.775,4000.2711106458987
0.78,3946.0966953059005
0.785,3950.13946314026
0.79,3979.946312531762
0.795,3964.131587564791
0.8,3945.861215812659
0.805,3948.363376755679
0.81,3992.1795998207976
0.815,3978.695123691868
0.82,3969.235265953571
0.825,3984.6752034228907
0.83,3966.2715001744045
0.835,3967.7045873596926
0.84,3974.329790430519
0.845,3983.0446683590835
0.85,3974.5749364161734
0.855,3974.8338657170093
0.86,4003.29202011305
0.865,4006.360738707966
0.87,4010.38845919866
0.875,3936.01281797536
0.88,3974.3591526316686
0.885,3983.7467323710093
0.89,3962.224666757657
0.895,3971.226111594564
0.9,4085.1729461882387
0.905,3972.123851030594
0.91,3977.8526319068287
0.915,3966.8181706163923
0.92,3989.4737360162144
0.925,4009.672501634864
0.93,3983.8901423630464
0.935,3945.652690042426
0.94,3969.5112735446887
0.945,3991.9119122965176
0.95,3940.144939158814
0.955,3971.3869998937853
0.96,3964.20738025844
0.965,3967.7720206924196
0.97,3961.7197885961755
0.975,3981.0854275113697
0.98,3955.511020144813
0.985,3931.0914432697673
0.99,3942.3430484978885
0.995,3877.8610014255228
