Alpha,Average Profit
0.0,758.1686894055665
0.005,765.8402990908519
0.01,775.3135161665075
0.015,764.0367947211693
0.02,767.2076913069473
0.025,766.0612483738926
0.03,762.8144666804503
0.035,765.3975278922231
0.04,774.4705777196978
0.045,777.2102168247874
0.05,765.0927126851237
0.055,780.0622390930486
0.06,772.4105032239052
0.065,772.4721275203377
0.07,776.3153817787314
0.075,776.3297717071963
0.08,762.8240291696817
0.085,761.195733226649
0.09,772.643572651545
0.095,776.4331837154684
0.1,768.4547766774406
0.105,772.4502287389931
0.11,766.9661833991003
0.115,766.8474418950569
0.12,766.5738042299232
0.125,763.2240211850836
0.13,778.1926739763198
0.135,776.8256378550134
0.14,764.4961404323903
0.145,765.7552496623262
0.15,764.4301399659332
0.155,767.0630703642538
0.16,779.5610307023468
0.165,770.9020281195848
0.17,762.7576360707684
0.175,771.4421097093464
0.18,768.3314307636767
0.185,770.3780858506271
0.19,766.4105742759175
0.195,767.6758498659364
0.2,777.2596846709325
0.205,774.871345525467
0.21,764.8730189256588
0.215,770.3143765470955
0.22,776.6606994288472
0.225,767.519510927394
0.23,764.2509072481879
0.235,777.5792901072518
0.24,760.7945902150775
0.245,767.9891376475141
0.25,762.3673160732172
0.255,771.5932384256365
0.26,766.5637672832033
0.265,769.2540025074032
0.27,778.5553551358638
0.275,781.1380381592375
0.28,765.704838974311
0.285,772.6492197057294
0.29,762.6638696834383
0.295,771.4917712365121
0.3,778.9425740515716
0.305,769.0722442639894
0.31,766.3586095665567
0.315,778.6061844044457
0.32,765.9291141467432
0.325,770.4732786159803
0.33,769.4172755542057
0.335,784.9626462369513
0.34,772.9978996769589
0.345,765.970046622427
0.35,768.5090352036946
0.355,777.5033861531239
0.36,779.7354537403079
0.365,772.5697445618016
0.37,769.788206748349
0.375,764.1302183886339
0.38,763.4409517254845
0.385,771.5626283880246
0.39,763.3350930616705
0.395,777.9353009716466
0.4,760.5196155775976
0.405,769.1817133571338
0.41,771.5953493303456
0.415,773.0674719082699
0.42,766.9901943199892
0.425,765.961613045906
0.43,765.5995473315402
0.435,772.9762920447699
0.44,770.0168577920007
0.445,769.4998707024979
0.45,763.4434492952548
0.455,769.7912389057743
0.46,756.9950377985186
0.465,768.2712619538715
0.47,760.9945538278449
0.475,782.8102108340339
0.48,773.3066588125886
0.485,768.1152132337994
0.49,767.578886207376
0.495,775.5508432505177
0.5,763.8930810427555
0.505,762.9581549965609
0.51,770.8503058603544
0.515,769.2199683224611
0.52,781.4937775716845
0.525,766.8501508492112
0.53,783.0941741959122
0.535,770.4299456560716
0.54,772.0057335452663
0.545,771.7811386323016
0.55,761.1096483135475
0.555,766.537246041436
0.56,768.4546688973304
0.565,768.4607179335452
0.57,766.3358122729667
0.575,774.3642724477188
0.58,760.8185268821384
0.585,766.7074816337758
0.59,769.1856328470469
0.595,771.1001961273463
0.6,779.8363858032805
0.605,767.3805529258805
0.61,768.0310631697367
0.615,771.5377965627484
0.62,776.2920431439697
0.625,768.2110186508502
0.63,775.9410475008854
0.635,769.0534550095668
0.64,768.6583021315357
0.645,765.6289316359785
0.65,764.8496297079503
0.655,763.7401066194845
0.66,764.901278384601
0.665,770.0792788524201
0.67,765.12089191565
0.675,765.6236735012656
0.68,775.4790773804293
0.685,767.3890449583893
0.69,767.5083405354937
0.695,768.6308304975663
0.7,778.8334142954513
0.705,766.1876100873052
0.71,764.752867914185
0.715,771.6684067049922
0.72,757.7071918811832
0.725,758.2996886525365
0.73,762.9619655433894
0.735,771.1991985480374
0.74,769.7263870633657
0.745,764.2212204824401
0.75,767.3282870139658
0.755,765.8266938849541
0.76,774.2241147433663
0.765,765.3111566832423
0.77,775.852976574392
0.775,764.7303860544316
0.78,771.4103398742351
0.785,773.3595437098853
0.79,770.1719199604476
0.795,767.0850709298882
0.8,774.1550501807951
0.805,763.0165309548922
0.81,774.1875544999633
0.815,770.0096827502949
0.82,770.9616111354087
0.825,766.788360548242
0.83,770.9031304090558
0.835,779.4544428866278
0.84,781.2453624273564
0.845,781.1495534222123
0.85,768.8203691910168
0.855,781.8821374906388
0.86,772.3925409044513
0.865,774.7174323452207
0.87,765.3273924238681
0.875,776.2587731451298
0.88,784.6383253418925
0.885,791.8286741464873
0.89,777.8564470364972
0.895,761.4269076657725
0.9,774.4145326364124
0.905,767.9112016713624
0.91,775.4336095852209
0.915,765.05972460159
0.92,773.0114067491511
0.925,773.2417013157964
0.93,770.5852912287743
0.935,770.7359461726446
0.94,775.5790558071603
0.945,769.8837845154598
0.95,782.6855427724175
0.955,772.251607977912
0.96,777.5226576192274
0.965,769.8152153323999
0.97,775.774789255759
0.975,782.5386815468223
0.98,777.9574992344611
0.985,775.4761556326226
0.99,774.2908173282776
0.995,765.6275837422269
