Alpha,Average Profit
0.0,4510.258685675343
0.005,4461.820631959866
0.01,4435.09848774877
0.015,4478.404463352404
0.02,4478.331514411181
0.025,4429.694290452615
0.03,4493.494991613853
0.035,4519.245419159691
0.04,4462.704785507512
0.045,4461.387635142519
0.05,4496.711686384262
0.055,4457.076507996974
0.06,4557.047420602464
0.065,4435.299990519759
0.07,4476.480660797946
0.075,4495.9648552246
0.08,4469.543657702191
0.085,4470.968440447603
0.09,4478.277074796795
0.095,4444.676111339892
0.1,4471.72433720751
0.105,4480.6032670976665
0.11,4391.056232492006
0.115,4430.087815673059
0.12,4479.914725366733
0.125,4517.700444014999
0.13,4474.646177479397
0.135,4500.454368925505
0.14,4441.852954513509
0.145,4490.970867796472
0.15,4476.657294668997
0.155,4454.62625078096
0.16,4461.4270399344705
0.165,4407.106242135569
0.17,4500.157116077995
0.175,4487.74359103145
0.18,4430.476823217812
0.185,4402.201755365246
0.19,4475.875339907665
0.195,4434.788496787659
0.2,4521.64474657081
0.205,4458.833876946234
0.21,4435.58424647059
0.215,4455.306632934185
0.22,4499.403685760803
0.225,4444.17245389437
0.23,4468.877235068489
0.235,4481.84868882132
0.24,4483.49879489433
0.245,4426.2657871699585
0.25,4466.181794658396
0.255,4462.077365804429
0.26,4442.452401996217
0.265,4462.697005643455
0.27,4445.988436226013
0.275,4430.3682532395815
0.28,4515.422522652026
0.285,4422.874954623325
0.29,4443.295817369788
0.295,4447.422542592502
0.3,4427.75470038143
0.305,4438.96030016077
0.31,4442.964315210408
0.315,4463.24879619032
0.32,4442.067762234172
0.325,4413.323746242956
0.33,4470.909569551493
0.335,4449.748795491224
0.34,4487.450537141543
0.345,4480.884758692284
0.35,4462.934204849008
0.355,4433.616313986106
0.36,4439.147294145459
0.365,4522.48842662544
0.37,4493.079278380385
0.375,4487.741176242029
0.38,4468.627808066559
0.385,4493.423219844779
0.39,4457.147768672023
0.395,4447.0559624134985
0.4,4516.643516071703
0.405,4478.330840244245
0.41,4469.415668063981
0.415,4457.44911118145
0.42,4467.2106878994955
0.425,4465.670898974627
0.43,4469.1151987562325
0.435,4425.641550017731
0.44,4471.495719740898
0.445,4448.199037541266
0.45,4476.744382571949
0.455,4469.401180175273
0.46,4517.352488685001
0.465,4472.1926176374855
0.47,4469.60109017196
0.475,4511.026598106345
0.48,4426.57759076489
0.485,4429.735659994993
0.49,4432.424966584106
0.495,4484.061507422536
0.5,4467.631518984867
0.505,4434.989440176126
0.51,4429.536417543107
0.515,4428.505731123545
0.52,4474.249401249219
0.525,4435.030583762666
0.53,4470.172654190242
0.535,4453.105433329167
0.54,4439.706673894237
0.545,4417.887194509153
0.55,4446.899614916171
0.555,4436.022062261358
0.56,4449.599150300454
0.565,4433.81251163779
0.57,4464.498867266537
0.575,4448.286389378612
0.58,4461.226205844148
0.585,4478.496695653941
0.59,4488.154247564973
0.595,4453.297414945525
0.6,4507.511611127511
0.605,4455.773781236909
0.61,4431.5856027561595
0.615,4448.770811838812
0.62,4428.8594784047755
0.625,4480.963588537003
0.63,4492.235755553093
0.635,4501.5637003751335
0.64,4467.290119564124
0.645,4508.863329726624
0.65,4472.659193291661
0.655,4498.570392508862
0.66,4478.937536190762
0.665,4483.657501703918
0.67,4454.241219990476
0.675,4484.504907384029
0.68,4495.974549324556
0.685,4476.307654765359
0.69,4450.842742595848
0.695,4442.6907672390025
0.7,4461.246972734575
0.705,4473.235352147753
0.71,4440.668342427645
0.715,4459.797533321467
0.72,4455.614690724476
0.725,4433.046043317539
0.73,4454.568029186416
0.735,4465.567190091165
0.74,4462.713038053334
0.745,4458.0076563206685
0.75,4453.768257985783
0.755,4486.669715056258
0.76,4445.749950460982
0.765,4473.444177361605
0.77,4494.339899142168
0.775,4430.293064180387
0.78,4472.09803839509
0.785,4391.060028217989
0.79,4401.606570938768
0.795,4442.771928312418
0.8,4439.906287728132
0.805,4461.270610328425
0.81,4499.4205768056045
0.815,4450.909398290927
0.82,4447.317964936868
0.825,4454.397684602752
0.83,4479.4811381173095
0.835,4470.859232938916
0.84,4429.162494682918
0.845,4425.399621437924
0.85,4413.677196050343
0.855,4440.545059321044
0.86,4468.02547466234
0.865,4465.570507637436
0.87,4435.050614832032
0.875,4478.08042188888
0.88,4449.287222325705
0.885,4491.339504196085
0.89,4434.416434810272
0.895,4437.031550292255
0.9,4420.229451916551
0.905,4423.343167064952
0.91,4410.849335940475
0.915,4416.386138054197
0.92,4461.545644145632
0.925,4443.051333286359
0.93,4436.187208213038
0.935,4437.0950146931
0.94,4424.377017598043
0.945,4460.102858743279
0.95,4428.0389517081385
0.955,4440.1294322860085
0.96,4417.676031907205
0.965,4387.489238880895
0.97,4424.75305773557
0.975,4367.115412604385
0.98,4374.2393282947005
0.985,4392.685557930143
0.99,4369.466693350576
0.995,4351.56873706294
