nOrders,profit,time
100,1983.809102126204,0.0
200,2381.1681472788614,0.0
300,3240.8701474563377,0.0
400,1923.2195947880741,0.0
500,2673.6550968302186,0.0
600,3073.3068579507585,0.0010111331939697266
700,2305.9297788288004,0.0
800,3705.1977687677772,0.0
900,1299.0881086055836,0.0
1000,1866.442793866236,0.0
1100,3634.3214167885276,0.0
1200,4179.188867577318,0.000995635986328125
1300,3651.6547952491683,0.0
1400,5301.513317061657,0.000997304916381836
1500,4828.345419015078,0.0010461807250976562
1600,5168.201215912998,0.0009992122650146484
1700,5586.008241141417,0.001995086669921875
1800,2358.5433412882326,0.0
1900,3523.5249006757185,0.0
2000,1508.9413514680875,0.0
2100,4865.873765390666,0.0
2200,3828.6298921279617,0.0
2300,4290.684094436454,0.0
2400,5089.866055201177,0.0
2500,4057.826767105654,0.0
2600,3794.025042348712,0.0
2700,4334.715035944402,0.0
2800,2484.021039296159,0.015687942504882812
2900,3328.29907951944,0.0
3000,4298.108295900753,0.015619039535522461
3100,4575.450618065461,0.0
3200,3498.607919848649,0.015629291534423828
3300,6177.2189879779635,0.0
3400,5278.490861509021,0.0
3500,3523.670339828793,0.0
3600,2409.5187575707637,0.0
3700,3667.39278204354,0.0
3800,1877.9648897642458,0.0
3900,2773.665127514269,0.0
4000,3213.8101055912593,0.0
4100,5129.96279888469,0.0
4200,5973.886543577385,0.0
4300,6008.357299838222,0.0
4400,2792.352049005531,0.0
4500,5100.219306688956,0.015634536743164062
4600,1826.5662032498929,0.0
4700,3518.543616855892,0.0
4800,2821.3225752862772,0.0
4900,3621.983452373743,0.015667438507080078
5000,3039.459425807703,0.0
5100,2825.382135621685,0.0
